gender,nationality,victimized,gen_ins,p7_8,age,p10_1,p10_2,id,barrio_res,gender_effect,nationality_effect,victimized_effect,p7_8_effect,darksens,p10_1_scaled,p10_2_scaled,darksens_b,darksens_c
0,1,none,-0.784281006785622,2,29,3,3,agent_515,Buztintxuri-Euntzetxiki,0,0.18600043569174385,0,0.5412711949471557,0.4761535931934761,0.33,0.33,0.2400881088361947,0.23606548435728142
0,1,none,0.2927994894283291,1,30,3,3,agent_665,Buztintxuri-Euntzetxiki,0,0.1501752305433841,0,0,0.5094271138707582,0.33,0.33,0.248345562762918,0.26108155110784026
0,1,severe,1.6625810694727114,2,40,2,2,agent_461,Buztintxuri-Euntzetxiki,0,0.019551953080998094,0,0.6033304324507677,1.0527118210383553,0.66,0.66,0.547167707853728,0.5055441131846272
0,1,none,-1.3489618702241073,2,42,4,4,agent_248,Buztintxuri-Euntzetxiki,0,0.13929856076904593,0,0.6660914658880015,-0.0036218029054279352,0,0,0.0017627097856144002,-0.0053845126910423355
0,1,low,0.2927994894283291,1,34,3,3,agent_349,Buztintxuri-Euntzetxiki,0,0.13536920767823316,0.5355403093496648,0,0.5071245192171565,0.33,0.33,0.25733219337902363,0.2497923258381329
0,1,none,0.42668431264335965,1,27,2,3,agent_602,Casco Viejo/Alde Zaharra,0,0.1557228664075395,0,0,0.7983849433286203,0.66,0.33,0.551076624672082,0.2473083186565384
0,0,none,0.19645745747953158,2,28,3,3,agent_782,Casco Viejo/Alde Zaharra,0,0,0,0.4606419770940564,0.5669942026251346,0.33,0.33,0.26562290514973,0.30137129747540453
0,1,none,0.11884116328539436,1,56,3,3,agent_220,Casco Viejo/Alde Zaharra,0,0.17140988607211213,0,0,0.45210006672801595,0.33,0.33,0.22247346913483665,0.2296265975931793
0,0,none,1.3781662431936534,2,26,2,2,agent_100,Casco Viejo/Alde Zaharra,0,0,0,0.5329927778047144,0.9599487720257953,0.66,0.66,0.4910286787026618,0.46892009332313345
0,1,none,-0.4458397001530911,1,70,4,4,agent_680,Casco Viejo/Alde Zaharra,0,0.15759575731839456,0,0,-0.010196839273221982,0,0,-0.011141549252498953,9.447099792769705e-4
0,1,none,0.5989473123431834,2,74,2,2,agent_265,Ensanche/Zabalgunea,0,0.1327168897773026,0,0.7436917898486801,1.0428840636720649,0.66,0.66,0.5388020449359865,0.5040820187360785
0,0,none,0.47951554569018484,2,21,3,2,agent_666,Ensanche/Zabalgunea,0,0,0,0.6683620052046214,0.7703284326491887,0.33,0.66,0.2630953456764341,0.5072330869727546
0,0,none,-0.5066676289431801,1,78,3,3,agent_683,Ensanche/Zabalgunea,0,0,0,0,0.5008201529470737,0.33,0.33,0.2641192862648513,0.23670086668222237
0,1,none,1.3564922233486614,1,55,1,1,agent_684,Ensanche/Zabalgunea,0,0.19572285881992274,0,0,1.4981839145493483,1,1,0.772767067898628,0.7254168466507203
0,1,none,-0.7318940912640458,1,45,4,4,agent_106,Ensanche/Zabalgunea,0,0.07307759017195833,0,0,0.01768360103338538,0,0,-0.013896028368851874,0.031579629402237255
0,0,severe,1.3734155077139936,2,27,1,1,agent_759,Ensanche/Zabalgunea,0,0,0,0.5567853009762254,1.557931568721238,1,1,0.8146728284200769,0.7432587403011611
0,1,none,-0.03332840461052972,2,32,2,3,agent_777,Ensanche/Zabalgunea,0,0.13353662023316812,0,0.7205122973377944,0.7471684403893966,0.66,0.33,0.5206462619557309,0.22652217843366568
0,1,none,-0.34371685814534786,2,61,3,4,agent_685,Ensanche/Zabalgunea,0,0.16383478995648704,0,0.3985868939931494,0.1990275818607316,0.33,0,0.20493457108425903,-0.005906989223527413
0,1,none,0.5162524686182303,2,63,3,2,agent_317,Ermitaga�a-Mendebaldea,0,0.23338002340465216,0,0.6171367812444264,0.7630245001803784,0.33,0.66,0.2716338975390921,0.49139060264128626
0,0,none,-0.3085344892052451,3,27,4,3,agent_627,Ermitaga�a-Mendebaldea,0,0,0,0,0.26408822204964266,0,0.33,-0.011819785193198352,0.27590800724284104
0,1,none,0.42668431264335965,2,60,2,3,agent_700,Ermitaga�a-Mendebaldea,0,0.08435792292532852,0,0.5741576882741325,0.7317828396552588,0.66,0.33,0.48150440735032884,0.2502784323049299
0,1,none,0.7458905262399402,2,76,2,3,agent_316,Ermitaga�a-Mendebaldea,0,0.25912793219281194,0,0.7210716396494865,0.7697619717631556,0.66,0.33,0.5027506271335426,0.26701134462961307
0,1,none,1.1254907686423279,2,45,1,1,agent_586,Ermitaga�a-Mendebaldea,0,0.16760772951025243,0,0.46342715863333117,1.4838675883630126,1,1,0.744349888792319,0.7395176995706935
0,1,low,0.9830280062516006,2,66,2,2,agent_306,Ermitaga�a-Mendebaldea,0,0.04457240736294561,0.3308124771711438,0.5259451228079179,0.9916588520072616,0.66,0.66,0.4899777192677215,0.5016811327395401
0,0,low,-1.5956124296017815,1,31,4,4,agent_802,Ermitaga�a-Mendebaldea,0,0,-0.04214079751990164,0,-0.023743129483502285,0,0,-0.015625981696231417,-0.008117147787270868
0,1,none,0.9469616069269563,1,95,1,1,agent_466,Ermitaga�a-Mendebaldea,0,0.17771090570665093,0,0,1.482197255435779,1,1,0.7278326672314397,0.7543645882043393
0,1,none,1.191200471562684,2,58,2,2,agent_398,Ermitaga�a-Mendebaldea,0,-0.042054751714675154,0,0.6728617136776115,1.0030805921629247,0.66,0.66,0.5291446761123632,0.4739359160505615
0,1,none,-1.5956124296017815,1,75,4,4,agent_186,Etxabakoitz,0,0.1405662472586939,0,0,-0.028935710387286415,0,0,0.003834327945912881,-0.032770038333199296
0,0,none,0.2927994894283291,2,30,3,3,agent_648,Iturrama,0,0,0,0.5684796980426171,0.5237369111934005,0.33,0.33,0.2256465765747013,0.29809033461869916
0,1,none,-0.39428716745351094,2,34,3,3,agent_551,Iturrama,0,-0.030765038798795562,0,0.6347008539713545,0.5486230936185585,0.33,0.33,0.28544537302674816,0.26317772059181044
0,1,moderate,1.9006270510493948,3,61,1,1,agent_238,Iturrama,0,0.2000945807009899,0,0,1.5013798214962968,1,1,0.7806616055369203,0.7207182159593764
0,1,none,1.304548764576451,3,76,4,3,agent_280,Iturrama,0,0.24429993809055597,0,0,0.22550406500818274,0,0.33,-0.007376787074806779,0.2328808520829895
0,1,none,1.2165080420552985,2,63,2,2,agent_458,Iturrama,0,0.09178075782857696,0,0.7021624601622762,0.9972611394111929,0.66,0.66,0.5305781415261256,0.4666829978850673
0,1,none,1.5878161328943738,2,44,1,2,agent_616,Iturrama,0,0.03944502797357566,0,0.6889387104633559,1.343243595910419,1,0.66,0.7919533371883261,0.551290258722093
0,1,none,-0.4913657713030787,2,52,4,4,agent_709,Iturrama,0,0.19879142841035688,0,0.7219333500796259,0.05334985145177494,0,0,0.02053952704093718,0.03281032441083776
0,1,none,-0.5682454935964457,2,49,3,3,agent_188,Iturrama,0,0.09068741260112213,0,0.4825322887411688,0.5128473799350934,0.33,0.33,0.27131600635250225,0.2415313735825912
0,1,none,-0.5682454935964457,2,70,3,3,agent_215,Iturrama,0,0.1832614031095714,0,0.4862808773442111,0.5296877928192419,0.33,0.33,0.2679479413384397,0.26173985148080225
0,1,moderate,0.006745098317374654,2,73,3,3,agent_600,Iturrama,0,0.10813773795883358,0,0.6352282422135831,0.4903537085376105,0.33,0.33,0.25255220723558197,0.23780150130202854
0,1,low,-0.611314660425451,2,34,3,4,agent_506,Lezkairu,0,0.15756699910418293,0.28866967481967576,0.5741830631470054,0.2345447610411126,0.33,0,0.24645093340650207,-0.011906172365389461
0,1,none,0.47962784979407214,2,42,2,2,agent_363,Lezkairu,0,0.24778419724463624,0,0.6157344206568639,0.9752931540284344,0.66,0.66,0.4986882249746904,0.47660492905374396
0,0,none,0.9108996228273365,2,42,2,2,agent_351,Lezkairu,0,0,0,0.5095758691631735,0.9722868938404994,0.66,0.66,0.4908323255269872,0.48145456831351224
0,1,low,0.7685832706698085,2,30,3,2,agent_504,Lezkairu,0,0.09452104772082494,0.2767852575353469,0.36901616066767023,0.7864947547329273,0.33,0.66,0.24890206804951,0.5375926866834173
0,1,none,0.006745098317374654,2,60,3,3,agent_71,Mendillorri,0,0.1805135123885573,0,0.5278939755989595,0.4692743880836574,0.33,0.33,0.2224650912107934,0.24680929687286401
0,1,none,0.7597414093722437,1,70,1,1,agent_217,Mendillorri,0,0.11983688492104629,0,0,1.5792050300441525,1,1,0.8242238991334628,0.7549811309106896
0,1,none,0.2744989863274893,1,50,3,3,agent_358,Mendillorri,0,0.18339123984198472,0,0,0.5385512356976021,0.33,0.33,0.2842990499576248,0.2542521857399773
0,1,none,-0.4216965007616284,1,39,3,2,agent_411,Mendillorri,0,0.2820291478676886,0,0,0.7531541823820498,0.33,0.66,0.22602228541991626,0.5271318969621335
0,1,none,-1.3894364062449323,1,48,4,4,agent_413,Mendillorri,0,0.1740426948993702,0,0,-0.022973716656096408,0,0,-0.010072120882476901,-0.012901595773619507
0,0,none,-1.1833097095194107,2,35,4,4,agent_479,Mendillorri,0,0,0,0.41266249719721676,-0.036479062600381404,0,0,-0.011666383840580472,-0.024812678759800935
0,1,moderate,0.2517587638987262,2,50,3,1,agent_1,Milagrosa-Arrosadia,0,0.2379051381588812,0,0.6428583855251949,1.0674915512684877,0.33,1,0.27359912795840796,0.7938924233100797
0,1,none,2.035902934549099,3,79,1,1,agent_320,Milagrosa-Arrosadia,0,0.26909832421000324,0,0,1.508886692915572,1,1,0.7679157733382043,0.7409709195773678
0,0,none,0.27654880586408287,2,24,2,3,agent_640,Milagrosa-Arrosadia,0,0,0,0.6603108287702452,0.744616313601372,0.66,0.33,0.5145329628498688,0.23008335075150319
0,0,severe,0.6882760922944458,3,28,3,1,agent_555,Milagrosa-Arrosadia,0,0,0,0,0.9744795031442001,0.33,1,0.2533863311162824,0.7210931720279177
0,0,none,-1.5956124296017815,1,32,4,4,agent_472,Rochapea/Arrotxapea,0,0,0,0,-0.033189654490227816,0,0,-0.0010717614322829023,-0.032117893057944914
0,0,none,-0.2098320349303174,1,66,2,4,agent_194,Rochapea/Arrotxapea,0,0,0,0,0.5280657201179118,0.66,0,0.5424150571003614,-0.014349336982449674
0,0,low,1.1498425698094639,2,25,2,2,agent_622,Rochapea/Arrotxapea,0,0,0.20403671957750996,0.5219666088376258,1.0143253707876816,0.66,0.66,0.5025557253585183,0.5117696454291633
0,1,none,0.979235236153238,2,63,1,2,agent_212,Rochapea/Arrotxapea,0,0.23915901590081226,0,0.4960178563937325,1.3319779685839814,1,0.66,0.8079117651107385,0.524066203473243
